id	Age	EduLevel	Gender	ReadAb	Q44	Q63	Q76	Q77	Q84	Q98	Q170	Q196
1	20	2	2	3	4	4	4	5	3	4	4	3
2	21	2	2	3	4	5	4	5	4	4	4	5
3	20	2	1	4	4	5	5	5	4	4	5	5
4	-999	2	1	4	4	3	2	3	5	4	4	4
5	21	2	2	3	4	4	5	5	4	5	5	5
6	27	5	1	4	3	4	4	4	4	5	5	5
7	21	2	2	3	4	3	4	5	5	3	5	5
8	-999	2	1	4	4	1	2	2	2	4	4	4
9	22	2	2	3	4	2	4	1	3	5	4	3
10	20	2	2	3	4	5	5	4	2	5	5	4
11	21	2	2	4	3	1	2	4	2	1	2	3
12	21	2	2	4	4	5	5	5	4	5	5	5
15	21	2	1	4	5	5	5	4	4	5	4	4
16	21	2	2	4	2	4	2	4	4	5	4	4
17	21	2	2	4	4	3	4	2	2	4	4	2
19	-999	2	2	2	3	2	4	5	3	4	4	4
20	21	2	2	4	3	4	3	4	3	5	4	3
21	22	2	2	3	2	4	4	4	2	4	4	4
22	21	2	2	4	4	4	5	5	4	5	5	5
23	23	2	2	3	4	2	2	2	2	4	3	3
24	22	2	2	3	3	3	5	5	5	5	5	5
25	-999	2	2	4	4	2	4	1	2	4	4	4
27	21	2	2	4	-999	3	4	5	5	4	4	4
28	23	2	2	4	3	3	4	4	4	4	4	4
29	20	2	2	4	4	4	5	3	4	5	5	4
31	22	-999	2	-999	3	3	5	4	3	4	4	4
32	20	2	2	4	4	5	5	5	1	5	5	5
33	-999	2	2	3	4	2	3	4	3	3	4	4
34	20	2	2	3	2	1	4	1	2	2	4	4
35	21	2	2	4	3	3	4	3	3	3	4	3
36	20	2	2	4	4	5	5	5	5	5	5	5
37	20	2	2	4	5	5	5	2	3	4	5	5
38	21	2	2	4	2	4	4	3	2	4	4	4
39	20	2	1	3	4	5	5	5	4	4	4	4
40	21	2	2	3	4	5	5	5	5	5	5	5
41	22	2	2	4	4	4	4	4	4	4	4	4
42	21	2	2	4	2	3	4	4	4	4	4	5
44	20	5	2	4	3	4	4	4	4	4	4	4
45	24	2	2	4	4	3	3	4	4	4	5	4
46	20	5	2	4	3	3	2	3	2	2	5	2
47	-999	5	2	4	5	5	5	5	4	5	5	5
48	20	5	2	4	3	4	4	4	3	4	4	4
49	23	5	2	3	1	-999	1	2	2	1	3	4
50	21	5	2	4	2	4	4	4	4	4	5	4
52	21	5	2	3	4	3	2	5	3	3	5	5
53	23	5	2	4	2	1	2	5	5	4	5	5
54	20	5	2	4	2	2	2	5	3	5	5	5
55	21	5	2	4	3	3	4	5	4	4	4	4
57	-999	5	2	4	4	4	4	3	2	5	5	5
58	23	5	1	4	3	2	3	5	4	4	5	5
59	23	5	2	3	5	1	2	2	2	5	5	5
60	21	5	2	3	3	4	3	3	2	4	4	4
63	22	5	2	4	4	2	4	5	2	4	5	5
65	21	5	2	4	2	2	4	2	3	4	5	3
66	20	5	2	3	4	4	5	5	4	5	5	5
67	22	5	2	4	3	2	2	2	2	2	4	3
68	20	5	2	4	4	5	4	5	2	5	2	4
69	20	5	2	4	3	5	4	5	4	5	5	5
70	21	5	2	4	4	4	4	4	3	4	5	4
71	21	5	2	4	3	2	4	4	3	5	5	4
73	22	5	2	4	1	5	2	1	1	5	2	3
74	21	5	2	3	3	1	2	4	2	1	4	4
75	22	5	1	4	2	4	4	4	4	5	4	5
76	20	5	2	4	5	5	5	5	5	5	5	5
77	20	5	2	3	4	4	5	4	4	4	4	4
78	22	5	2	4	3	4	4	4	4	4	5	4
79	24	2	1	4	4	5	3	4	3	4	4	5
80	-999	2	1	3	4	4	2	1	4	4	1	2
81	-999	2	2	3	2	2	2	4	2	3	3	4
82	-999	2	1	4	4	4	3	3	4	4	3	3
83	-999	3	2	3	3	2	2	5	3	4	5	4
84	-999	2	2	4	3	5	3	3	2	4	4	3
85	-999	3	1	4	4	3	4	3	2	4	4	4
87	-999	2	2	4	2	2	2	4	2	4	4	4
89	-999	2	2	4	3	2	4	2	3	5	2	4
90	-999	2	2	4	2	2	4	4	4	4	4	4
91	-999	2	1	3	3	3	3	4	3	3	4	4
92	-999	3	2	4	3	3	4	4	4	4	5	4
93	-999	3	1	4	3	3	3	4	5	4	5	4
94	-999	2	2	3	4	3	4	1	5	3	3	2
96	-999	1	1	3	4	2	4	3	3	4	4	4
98	-999	3	1	4	3	3	4	4	3	4	3	4
99	-999	3	2	4	4	3	4	3	3	4	4	3
100	-999	2	2	3	5	3	2	3	3	5	5	5
101	-999	2	2	4	4	4	4	2	2	4	4	3
102	-999	2	1	3	3	2	2	3	4	4	3	4
